state,county_state,county_fips_code,urbanicity_2,65_plus_yn,COUNT
MD,"LINCOLN, WV",54043,Metro counties,N,2
TN,"LAWRENCE, AL",01079,Metro counties,Y,1
TN,"SISKIYOU, TN",,,Y,1
AL,"HENRY, IL",17073,Metro counties,Y,1
TX,"WALLA WALLA, WA",53071,Metro counties,N,1
NM,"BOULDER, CO",08013,Metro counties,N,3
MT,"LAKE, FL",12069,Metro counties,N,1
NM,"UMATILLA, OR",41059,Non-metro counties,Y,1
PR,"VENTURA, CA",06111,Metro counties,N,1
GA,"PIMA, AZ",04019,Metro counties,Y,1
KY,"DAVIESS, CA",21059,Metro counties,N,1
TX,"DREW, AR",05043,Non-metro counties,N,1
TX,"PERSHING, NV",32027,Non-metro counties,N,1
AL,"JACKSON, GA",01071,Non-metro counties,N,2
VT,"PRINCE WILLIAM, VA",51153,Metro counties,N,1
TX,"DOUGLAS, MO",29067,Non-metro counties,N,1
TX,"SUNFLOWER, MS",28133,Non-metro counties,N,1
UT,"TARRANT, UT",48439,Metro counties,N,1
NM,"DEKALB, IL",17037,Metro counties,N,1
NM,"STEUBEN, NY",36101,Non-metro counties,N,1
AL,"MADISON, LA",01089,Metro counties,N,1
TN,"DECATUR, GA",13087,Non-metro counties,N,1
TN,"OVERTON, IA",47133,Non-metro counties,N,1
AL,"BOULDER, CO",08013,Metro counties,N,1
TX,"DECATUR, GA",13087,Non-metro counties,N,1
TN,"GRAINGER, FL",47057,Metro counties,Y,1
MT,"KENAI PENINSULA, AK",02122,Non-metro counties,Y,3
MT,"TAYLOR, WI",55119,Non-metro counties,N,1
KY,"FLEMING, DE",21069,Non-metro counties,Y,1
TX,"DALLAS, MD",48113,Metro counties,N,2
CO,AS,,,N,1
VT,"ADDISON, NH",,,N,2
TN,"BARBOUR, TN",,,N,1
TN,"HARDIN, MS",48199,Metro counties,N,1
AR,"CLARK, CA",,,N,1
OR,UT,,,Y,2
AL,"CLAY, MS",28025,Non-metro counties,N,2
TN,"CLAIBORNE, KY",47025,Non-metro counties,N,1
GA,"HIDALGO, TX",48215,Metro counties,N,4
TN,"DAVIDSON, FL",,,N,1
IN,"KNOX, LA",,,Y,1
VI,VT,,,N,1
TN,"OTTAWA, MI",26139,Metro counties,N,2
TX,"CLAY, MS",28025,Non-metro counties,N,1
GU,"SALT LAKE, GU",,,N,2
TX,"CULPEPER, VA",51047,Metro counties,N,2
IN,"ALLEN, CA",,,Y,2
AR,"WALKER, TX",48471,Non-metro counties,N,1
AR,MT,,,N,2
AL,"COLORADO, TX",48089,Non-metro counties,N,1
TN,"GRENADA, MS",28043,Non-metro counties,N,4
OR,MD,,,N,1
IN,"PUTNAM, OR",,,N,1
TN,"MONTGOMERY, SD",,,N,1
TN,"LOWNDES, GA",13185,Metro counties,N,3
AL,"ST. LUCIE, AL",12111,Metro counties,N,3
TN,"LEE, TN",,,Y,1
KS,"MONTGOMERY, OH",20125,Non-metro counties,N,1
AR,"SEQUOYAH, AR",,,Y,1
IN,"TIPPECANOE, TN",,,N,2
NM,"ORANGE, CA",06059,Metro counties,Y,1
GA,"NEWPORT NEWS CITY, VA",51700,Metro counties,N,1
IN,"HAMILTON, WI",,,N,1
IN,"KOSCIUSKO, WI",,,N,3
IN,"MARION, VA",,,Y,5
IN,"VANDERBURGH, KY",,,Y,1
TN,"ROCKWALL, TX",48397,Metro counties,N,1
TN,"LUBBOCK, TX",48303,Metro counties,N,1
MA,MS,,,Y,2
IN,"ALLEN, WI",,,N,2
AR,"DOUGLAS, GA",13097,Metro counties,Y,1
IN,"CLARK, KY",21049,Metro counties,Y,1
TN,"LAFAYETTE, MS",28071,Non-metro counties,Y,2
KS,IL,,,Y,5
OR,FL,,,Y,1
VT,"CHITTENDEN, MA",,,N,3
VT,ME,,,N,1
AR,"WICOMICO, MD",24045,Metro counties,Y,2
TN,"KNOX, OK",,,N,1
AR,"ROCK, WI",55105,Metro counties,Y,1
KY,"FAIRFAX, VA",51059,Metro counties,N,1
AR,"HARRISON, TX",48203,Non-metro counties,N,1
TN,"MENIFEE, KY",21165,Non-metro counties,N,2
IN,"CLARK, VA",,,N,1
AL,"CHESAPEAKE CITY, VA",51550,Metro counties,N,3
IN,"ALLEN, WY",,,Y,1
IN,"ELKHART, MS",,,N,1
IN,"HAMILTON, MT",,,Y,1
VT,"CHITTENDEN, ME",,,N,2
IN,"MONROE, VA",,,N,2
ME,"WASHINGTON, ME",37187,Non-metro counties,Y,1
IN,"HICKMAN, IN",21105,Non-metro counties,N,1
NM,"SULLIVAN, NH",33019,Non-metro counties,N,1
PR,"NEW LONDON, CT",09011,Metro counties,Y,1
AR,"MERRIMACK, NH",33013,Non-metro counties,N,1
IN,"ROCK, WI",55105,Metro counties,Y,1
TN,"CHESAPEAKE CITY, VA",51550,Metro counties,N,1
IN,"LAKE, KS",,,N,1
TX,"MONTGOMERY, OH",48339,Metro counties,N,1
AL,"BUTTE, SD",46019,Non-metro counties,N,1
NM,"ATLANTIC, NJ",34001,Metro counties,Y,1
TX,"RANDOLPH, AR",05121,Non-metro counties,N,1
GA,"BEDFORD, VA",51019,Metro counties,N,1
TN,"FAIRFAX, VA",51059,Metro counties,N,5
MT,"HAMILTON, IN",18057,Metro counties,N,1
NM,"WICOMICO, MD",24045,Metro counties,N,1
TX,"PICKETT, TN",47137,Non-metro counties,N,1
FL,"PALM BEACH, MO",12099,Metro counties,Y,1
VT,"WAUKESHA, WI",55133,Metro counties,N,1
TX,"UNALLOCATED OKLAHOMA, OK",40000,,N,2
MT,"SHERIDAN, WY",56033,Non-metro counties,Y,2
KY,"WORCESTER, MD",24047,Metro counties,N,1
IN,"WARRICK, PA",,,Y,1
IN,"RUSK, WI",55107,Non-metro counties,N,1
IN,"CASS, IL",17017,Non-metro counties,N,4
SC,"CLINCH, GA",13065,Non-metro counties,N,1
KY,"RICHMOND, GA",13245,Metro counties,N,1
TN,"LEE, FL",51105,Non-metro counties,Y,2
TN,"CROCKETT, MS",,,N,1
NM,"COLLIN, TX",48085,Metro counties,Y,2
AR,"ALLAMAKEE, IA",19005,Non-metro counties,N,1
AR,"COPIAH, MS",28029,Metro counties,N,1
TN,"MIDDLESEX, MA",51119,Non-metro counties,N,1
AL,"MARION, SD",01093,Non-metro counties,N,1
TN,"GREGG, TX",48183,Metro counties,N,1
GA,"YORK, SC",45091,Metro counties,N,1
TX,"MENARD, IL",17129,Metro counties,N,1
TX,"BUFFALO, NE",31019,Non-metro counties,N,1
AL,"LAFAYETTE, AL",22055,Metro counties,N,1
TN,"HENRY, IL",17073,Metro counties,N,2
NM,"FINNEY, KS",20055,Non-metro counties,N,1
TX,"WEBB, VA",48479,Metro counties,N,1
NM,"LUBBOCK, TX",48303,Metro counties,Y,4
VA,SC,,,N,1
AL,"NEWTON, MS",28101,Non-metro counties,N,1
TN,"PLAQUEMINES, LA",22075,Metro counties,N,1
VT,"MANATEE, FL",12081,Metro counties,Y,1
TN,"SHAWNEE, KS",20177,Metro counties,N,1
TX,"ALLEGANY, MD",24001,Metro counties,N,1
VT,MN,,,N,2
TX,"MADISON, MS",48313,Non-metro counties,N,1
PR,"WESTMORELAND, PA",42129,Metro counties,N,1
MD,"ALLEGANY, WV",24001,Metro counties,N,2
AR,"LAKE, FL",12069,Metro counties,N,2
GU,"YAVAPAI, AZ",04025,Metro counties,N,1
NM,"RIO GRANDE, CO",08105,Non-metro counties,N,1
VT,"ST. JOHNS, FL",12109,Metro counties,Y,1
KY,"CLAIBORNE, TN",47025,Non-metro counties,Y,2
TX,"BELMONT, OH",39013,Metro counties,N,1
AL,"UNALLOCATED ARIZONA, AZ",04000,,Y,1
IN,"CLARK, NY",,,N,1
IN,"VANDERBURGH, AR",,,N,1
TX,"GIBSON, TN",47053,Non-metro counties,N,1
MT,"BOTTINEAU, ND",38009,Non-metro counties,N,1
TN,"MARTIN, KY",21159,Non-metro counties,N,1
FL,"SUMTER, MI",12119,Metro counties,Y,1
NM,"SHERIDAN, NE",31161,Non-metro counties,Y,1
VT,"MANATEE, FL",12081,Metro counties,N,1
FL,"MANATEE, ME",12081,Metro counties,Y,1
GA,"DEKALB, IN",18033,Non-metro counties,N,1
MT,"JEFFERSON, LA",22051,Metro counties,N,1
IN,"BROWN, NC",18013,Metro counties,N,1
IN,"WEBER, UT",49057,Metro counties,N,1
AR,"MCCLAIN, OK",40087,Metro counties,N,1
NM,"LINCOLN, MN",27081,Non-metro counties,N,1
AR,"PANOLA, MS",28107,Non-metro counties,N,2
TN,"GEORGE, MS",28039,Non-metro counties,Y,1
VT,"MONTGOMERY, NY",36057,Non-metro counties,N,3
AL,"BALDWIN, GA",13009,Non-metro counties,N,3
TN,"SALINE, IL",17165,Non-metro counties,Y,1
GA,"LEHIGH, PA",42077,Metro counties,N,1
MT,"DEKALB, MO",29063,Metro counties,N,1
TN,"CHEROKEE, GA",13057,Metro counties,Y,1
TX,"FRANKLIN, NC",37069,Metro counties,N,1
IN,"MONROE, FL",12087,Non-metro counties,Y,2
VT,"SCHENECTADY, VT",36093,Metro counties,Y,1
AL,"GENESEE, MI",26049,Metro counties,N,4
FL,"MARTIN, MD",12085,Metro counties,Y,1
FL,"PALM BEACH, MI",12099,Metro counties,N,3
GA,"COCHISE, AZ",04003,Metro counties,N,1
VA,"RIVERSIDE, CA",06065,Metro counties,N,2
TN,"COCHISE, AZ",04003,Metro counties,Y,1
GA,"MARTIN, FL",12085,Metro counties,N,2
TN,"RIVERSIDE, CA",06065,Metro counties,N,4
IN,"CLERMONT, IN",39025,Metro counties,N,3
IN,"DELAWARE, DE",18035,Metro counties,N,1
VT,"VENTURA, CA",06111,Metro counties,N,2
MT,"GARFIELD, WA",53023,Non-metro counties,N,1
FL,"ESCAMBIA, TN",12033,Metro counties,Y,1
AL,"DUPAGE, IL",17043,Metro counties,Y,1
TN,"ST. CLAIR, IL",17163,Metro counties,N,1
MT,"LANCASTER, PA",42071,Metro counties,N,1
AR,"OLMSTED, MN",27109,Metro counties,N,2
NM,"GREGG, TX",48183,Metro counties,N,3
KY,"SULLIVAN, TN",47163,Metro counties,N,2
TX,"BACA, CO",08009,Non-metro counties,N,1
MT,"EAST BATON ROUGE, LA",22033,Metro counties,N,1
SC,"ORLEANS, VT",50019,Non-metro counties,N,1
NM,"LAMB, TX",48279,Non-metro counties,N,1
AL,"ARAPAHOE, CO",08005,Metro counties,N,5
GA,"OHIO, WV",54069,Metro counties,Y,1
NM,"BAY, FL",12005,Metro counties,N,1
UT,"HAWAII, UT",15001,Non-metro counties,N,1
GA,"DUPAGE, IL",17043,Metro counties,Y,1
VT,"HAWAII, HI",15001,Non-metro counties,N,1
TX,"DE BACA, NM",35011,Non-metro counties,N,1
TN,"LAKE, OH",39085,Metro counties,N,2
GA,"MARSHALL, IL",17123,Metro counties,N,2
OH,TX,,,Y,1
TX,"OLMSTED, MN",27109,Metro counties,N,3
MT,"YORK, PA",42133,Metro counties,N,1
AL,"FRANKLIN, WA",53021,Metro counties,N,1
AR,"MANITOWOC, WI",55071,Non-metro counties,N,1
FL,"POLK, OH",12105,Metro counties,Y,1
AR,"FAIRFAX, VA",51059,Metro counties,N,4
KY,"MONTGOMERY, OH",39113,Metro counties,Y,1
NM,"LE FLORE, OK",40079,Metro counties,N,1
TN,"DAVIS, UT",49011,Metro counties,N,1
AR,"NASSAU, FL",12089,Metro counties,N,2
TN,"VENTURA, CA",06111,Metro counties,N,1
MT,"BONNEVILLE, ID",16019,Metro counties,N,1
TN,"HAMILTON, NY",36041,Non-metro counties,Y,1
FL,"POLK, NC",12105,Metro counties,Y,1
IN,"MADISON, GA",13195,Metro counties,N,1
IN,"CLARK, KY",21049,Metro counties,N,4
NM,"TAYLOR, TX",48441,Metro counties,N,3
TX,"BUCHANAN, IA",19019,Non-metro counties,N,1
CO,FL,,,Y,2
TX,"MONTMORENCY, MI",26119,Non-metro counties,N,2
AL,"BRANCH, AL",26023,Non-metro counties,N,1
AR,"PITTSBURG, OK",40121,Non-metro counties,Y,2
IN,FL,,,N,1
AL,"BOSQUE, TX",48035,Non-metro counties,N,1
TN,"CARTER, NC",,,Y,1
IN,"MONROE, NC",,,N,1
TX,"SAN PATRICIO, AZ",48409,Metro counties,N,1
TN,"SCOTT, IA",19163,Metro counties,N,3
AL,"CRISP, GA",13081,Non-metro counties,N,1
VT,"WASHINGTON, VT",51191,Metro counties,N,1
AL,"BEAUFORT, SC",45013,Metro counties,Y,1
TN,"LUBBOCK, TX",48303,Metro counties,Y,1
KY,"BARBOUR, WV",54001,Non-metro counties,N,1
IN,"CLARK, FL",,,N,2
TN,"CLARK, KY",21049,Metro counties,N,2
TN,"YAVAPAI, TN",,,Y,1
AL,"TAZEWELL, VA",51185,Non-metro counties,N,1
IN,"FRESNO, CA",06019,Metro counties,N,1
GU,CO,,,Y,1
TX,"WINSTON, MS",28159,Non-metro counties,N,3
IN,"HENDRICKS, PA",,,Y,1
TN,"ASHLEY, AR",05003,Non-metro counties,N,1
PR,"JACKSON, MO",29095,Metro counties,Y,1
GU,"KERN, GU",,,N,1
TN,"ETOWAH, AL",01055,Metro counties,N,3
TX,"MERCED, CA",06047,Metro counties,N,2
MT,"CLEARWATER, ID",16035,Non-metro counties,N,1
IN,"SHERIDAN, WY",56033,Non-metro counties,Y,1
AR,"ASCENSION PARISH, LA",,,N,1
AR,"BRECKINRIDGE, KY",21027,Non-metro counties,N,1
MT,"BARBOUR, WV",54001,Non-metro counties,N,1
GA,"MONTGOMERY, AL",01101,Metro counties,N,3
VA,"KINGS, NY",36047,Metro counties,N,1
AL,"HARPER, OK",40059,Non-metro counties,Y,1
NM,"COLES, IL",17029,Non-metro counties,N,1
TN,"FREDERICK, VA",51069,Metro counties,N,1
IN,"GRANT, RI",18053,Non-metro counties,N,1
IN,"HIDALGO, IN",48215,Metro counties,N,1
VA,ND,,,N,1
NM,"HENNEPIN, MN",27053,Metro counties,N,3
VT,"SAINT BERNARD, LA",,,N,1
MT,"GRAFTON, NH",33009,Non-metro counties,N,4
OR,NC,,,N,2
TN,"JEFFERSON, MN",47089,Metro counties,N,1
MT,"BENTON, WA",53005,Metro counties,N,2
MT,"HARALSON, GA",13143,Metro counties,N,1
IN,"BARTHOLOMEW, FL",,,N,1
TX,"HENNEPIN, TX",27053,Metro counties,N,1
AL,"FAYETTE, TN",47047,Metro counties,N,2
IN,"PORTER, AZ",,,N,1
IN,"PUTNAM, MI",,,N,1
TN,"ORANGE, TN",,,Y,1
TN,"DAVISON, FL",,,N,1
MT,"YAMHILL, OR",41071,Metro counties,Y,1
IN,"VERMILLION, NC",,,Y,1
TN,"DAVIDSON, MD",,,N,2
TX,"UNALLOCATED ARIZONA, AZ",04000,,N,1
IN,"HAMILTON, MD",,,N,1
OR,IN,,,N,3
MP,"VIRGINIA BEACH CITY, VA",51810,Metro counties,N,1
AL,"HARDIN, AL",48199,Metro counties,N,1
IN,"HENDRICKS, AL",,,N,1
IN,"DELAWARE, MD",,,N,1
TX,"UNALLOCATED CALIFORNIA, CA",06000,,Y,1
VT,"WINDHAM, AZ",50025,Non-metro counties,N,1
IN,"DOUGLAS, IN",13097,Metro counties,N,1
AL,"FLOYD, AL",21071,Non-metro counties,N,1
IN,"BOONE, MS",,,N,1
TN,"PIMA, TN",,,N,1
IN,"CRAWFORD, CO",,,N,1
IN,"GRANT, CO",,,N,2
TN,"ALLEGHENY, TN",,,N,1
VT,"ORLEANS, MD",,,N,1
NM,"MARSHALL, KS",20117,Non-metro counties,N,1
TX,"BELKNAP, NH",33001,Non-metro counties,N,1
TX,"IZARD, TX",05065,Non-metro counties,N,1
DE,"ANNE ARUNDEL, MD",24003,Metro counties,N,1
GA,"BIBB, AL",01007,Metro counties,Y,1
IN,"HARRISON, CA",,,N,1
IN,"MARION, MO",29127,Non-metro counties,Y,1
AL,"MARION, KY",21155,Non-metro counties,N,1
AR,"NEW YORK, NE",,,N,1
AR,"TISHOMINGO, MS",28141,Non-metro counties,Y,1
IN,"KOSCIUSKO, WV",,,N,1
AL,"DOÑA ANA, AL",35013,Metro counties,N,1
TN,"WYTHE, VA",51197,Non-metro counties,N,1
CO,"LARIMER, AL",08069,Metro counties,N,1
AL,"COWETA, GA",13077,Metro counties,Y,1
TX,"FORD, IL",17053,Metro counties,N,1
IN,"HAMILTON, NY",18057,Metro counties,N,1
IN,"LAPORTE, MS",18091,Metro counties,N,1
IN,"MONTGOMERY, IN",39113,Metro counties,N,2
AL,"MORGAN, IN",18109,Metro counties,N,1
IN,"VIGO, TX",18167,Metro counties,N,1
AL,"COWETA, GA",13077,Metro counties,N,4
TN,"LARIMER, CO",08069,Metro counties,N,1
TX,"TRAVIS, IN",48453,Metro counties,N,2
IN,"KOSCIUSKO, CO",,,N,1
IN,"HENRY, OK",,,N,1
TX,"FREMONT, CO",08043,Non-metro counties,N,1
GU,AZ,,,N,1
VT,"RICHLAND, SC",45079,Metro counties,N,1
TN,"MCLEAN, KY",21149,Metro counties,Y,2
TN,"WEST FELICIANA, LA",22125,Metro counties,N,1
MT,"CORYELL, TX",48099,Metro counties,N,1
AL,"HALE, TX",48189,Non-metro counties,N,1
AL,"BIBB, GA",13021,Metro counties,Y,3
SC,"BIBB, GA",13021,Metro counties,N,1
CO,"ARAPAHOE, NC",08005,Metro counties,N,1
AL,"FAIRFIELD, OH",39045,Metro counties,N,2
MT,"BROWN, WI",55009,Metro counties,N,1
GU,"MULTNOMAH, GU",41051,Metro counties,N,1
NM,"WAGONER, OK",40145,Metro counties,N,1
AL,"BAY, MI",26017,Metro counties,N,1
MT,"FALL RIVER, SD",46047,Non-metro counties,Y,1
TN,"KENTON, OH",21117,Metro counties,N,1
PR,"NEW HAVEN, CT",09009,Metro counties,N,4
TN,"HENRY, IN",18065,Non-metro counties,N,1
TX,"TWIN FALLS, ID",16083,Non-metro counties,N,2
AR,"YALOBUSHA, MS",28161,Non-metro counties,Y,1
TX,"CLAY, MN",27027,Metro counties,N,2
MD,"JEFFERSON, WV",54037,Metro counties,N,1
NM,"DONLEY, TX",48129,Non-metro counties,N,1
IN,"LUCAS, IN",39095,Metro counties,N,1
TX,"WHITFIELD, GA",13313,Metro counties,N,2
TN,"NEVADA, CA",06057,Non-metro counties,Y,1
AL,"NEW HANOVER, NC",37129,Metro counties,N,3
TN,"QUEENS, NY",36081,Metro counties,Y,1
IN,"ST. LOUIS, MO",29189,Metro counties,N,5
MT,"CURRY, OR",41015,Non-metro counties,N,2
TX,"KINGS, CA",06031,Metro counties,N,4
AL,"BALDWIN, NM",01003,Metro counties,N,1
MT,"BENEWAH, ID",16009,Non-metro counties,N,1
VT,"SAN FRANCISCO, CA",06075,Metro counties,N,4
TX,"HARRIS, MI",48201,Metro counties,N,2
AR,"ELLIS, TX",48139,Metro counties,N,2
TN,"HUDSON, NJ",34017,Metro counties,N,1
AL,"CAMERON, AL",48061,Metro counties,N,2
AR,"STARK, OH",39151,Metro counties,N,1
AR,"KNOX, TN",47093,Metro counties,Y,1
AR,"BALDWIN, AL",01003,Metro counties,N,3
IN,"STUTSMAN, ND",38093,Non-metro counties,N,1
NM,"BURKE, GA",13033,Metro counties,N,1
GA,"PIKE, MS",28113,Non-metro counties,N,1
AL,"SAN FRANCISCO, AL",06075,Metro counties,N,3
MT,"BENNINGTON, VT",50003,Non-metro counties,N,1
GA,"ST. LUCIE, FL",12111,Metro counties,N,1
MT,"LINCOLN, NV",32017,Non-metro counties,N,3
NM,"ANCHORAGE, AK",02020,Metro counties,N,1
AL,"FAULKNER, AL",05045,Metro counties,N,1
VT,"MIDDLESEX, VT",34023,Metro counties,Y,1
IN,"CHAFFEE, IN",08015,Non-metro counties,N,1
AL,"PENDLETON, KY",21191,Metro counties,N,1
AL,"MONTGOMERY, AL",42091,Metro counties,N,1
TN,"FRESNO, CA",06019,Metro counties,N,1
TN,"NEWTON, MS",28101,Non-metro counties,Y,1
KY,"JEFFERSON, TX",21111,Metro counties,N,3
GA,"JACKSON, AL",01071,Non-metro counties,Y,2
GA,"SEVIER, TN",47155,Non-metro counties,Y,1
MT,"TIOGA, NY",36107,Metro counties,N,1
AR,"HAMPDEN, MA",25013,Metro counties,N,1
PR,"NEW HAVEN, CT",09009,Metro counties,Y,1
AL,"BRONX, NY",36005,Metro counties,N,2
AL,"DUNKLIN, AL",29069,Non-metro counties,N,1
IN,"JEFFERSON, MO",18077,Non-metro counties,N,2
TX,"PAULDING, GA",13223,Metro counties,N,2
TX,"WAYNE, NC",37191,Metro counties,N,2
AL,"CARTER, AL",21043,Non-metro counties,N,1
TX,"CHAUTAUQUA, KS",20019,Non-metro counties,N,1
TN,"LUNA, NM",35029,Non-metro counties,N,1
AL,"LIVINGSTON, KY",21139,Non-metro counties,N,1
KY,"LEXINGTON, SC",45063,Metro counties,N,1
AL,"LAFAYETTE, MO",29107,Metro counties,N,1
GA,"MADISON, AL",01089,Metro counties,Y,1
TX,"BENTON, MO",29015,Non-metro counties,N,1
IN,"WILL, IN",17197,Metro counties,N,5
TX,"HARDIN, TX",47071,Non-metro counties,N,1
TX,"KNOX, TN",48275,Non-metro counties,N,3
TN,"CAMPBELL, KY",47013,Metro counties,N,1
AL,"JEFFERSON, AL",21111,Metro counties,N,1
TN,"MAURY, FL",47119,Metro counties,N,1
AL,"HAMPDEN, MA",25013,Metro counties,N,2
UT,"HAMILTON, OH",36041,Non-metro counties,N,1
GA,"BULLITT, KY",21029,Metro counties,N,1
GA,"GRIMES, TX",48185,Non-metro counties,N,1
PR,TN,,,N,1
CO,PA,,,N,1
IN,"ST JOSEPH, OH",,,N,1
TN,"TROUP, GA",13285,Non-metro counties,N,1
MT,"ADA, ID",16001,Metro counties,Y,2
AL,"MCDONOUGH, IL",17109,Non-metro counties,N,1
TN,"WASHINGTON, LA",22117,Non-metro counties,N,1
IN,"CLARK, WV",,,N,1
AR,"UNION PARISH, AR",,,N,1
IN,"HOWARD, FL",,,Y,1
KS,"JEFFERSON, TX",20087,Metro counties,N,2
TN,"YAMHILL, OR",41071,Metro counties,N,1
IN,"PORTER, WY",,,N,1
AR,"RICHLAND, SC",45079,Metro counties,N,2
FL,"BROWARD, CT",12011,Metro counties,N,1
IN,"LAPORTE, HI",,,N,1
TX,"WELLS, IN",18179,Metro counties,N,2
VA,"BROWARD, FL",12011,Metro counties,N,1
TN,"ANDERSON, VA",47001,Metro counties,N,1
IN,"OGEMAW, IN",26129,Non-metro counties,N,1
PR,IL,,,N,2
SC,"BLUE EARTH, MN",27013,Metro counties,N,1
KS,MD,,,Y,1
GA,"SACRAMENTO, CA",06067,Metro counties,N,1
TN,"FRANKLIN, OH",39049,Metro counties,N,7
VT,"BROWARD, FL",12011,Metro counties,Y,1
AR,"CHARLEVOIX, AR",,,N,1
AL,"MONONGALIA, AL",54061,Metro counties,N,1
TN,"DUBOIS, IN",18037,Non-metro counties,Y,2
AL,"WAKE, AL",37183,Metro counties,N,1
IN,"VIGO, WI",,,N,1
VT,"OCEAN, NJ",34029,Metro counties,N,1
AL,"NEW HAVEN, CT",09009,Metro counties,Y,1
IN,"WAKE, IN",37183,Metro counties,N,1
AR,OH,,,Y,1
VA,"MARICOPA, AZ",04013,Metro counties,N,1
IN,"MARION, CO",18097,Metro counties,N,1
GA,"CONEJOS, CO",08021,Non-metro counties,N,1
IN,"WAYNE, NY",36117,Metro counties,N,1
AR,"BROWN, KS",20013,Non-metro counties,N,1
AL,"PIMA, AL",04019,Metro counties,N,1
PR,"ORANGE, NY",36071,Metro counties,Y,1
IN,"HAMILTON, IA",19079,Non-metro counties,N,1
AL,"TUSCALOOSA, LA",01125,Metro counties,N,2
TN,"STARK, OH",39151,Metro counties,Y,1
PR,"UNION, FL",12125,Non-metro counties,Y,1
KY,"MCCRACKEN, FL",21145,Non-metro counties,Y,1
NM,"JACKSON, MO",29095,Metro counties,N,1
IN,"FULTON, IL",17057,Non-metro counties,Y,1
NM,"KNOX, IN",18083,Non-metro counties,N,1
MT,"TOMPKINS, NY",36109,Metro counties,N,1
TN,"ST. JAMES, LA",22093,Metro counties,N,3
TN,"TALLAHATCHIE, MS",28135,Non-metro counties,Y,4
VA,"MILWAUKEE, WI",55079,Metro counties,N,1
KY,"PERRY, PA",21193,Non-metro counties,N,1
NM,"WRIGHT, MO",29229,Non-metro counties,N,1
TN,"POLK, GA",13233,Non-metro counties,Y,1
AL,"MONTGOMERY, NY",01101,Metro counties,N,1
ID,"MULTNOMAH, OR",41051,Metro counties,N,1
TN,"TIPPECANOE, IN",18157,Metro counties,N,1
TX,"PUTNAM, GA",13237,Non-metro counties,N,1
MD,"GREENVILLE, SC",45045,Metro counties,N,1
KS,"WASHINGTON, AR",20201,Non-metro counties,N,1
TX,"SENECA, OH",39147,Non-metro counties,Y,1
KS,"BROWN, OH",20013,Non-metro counties,N,1
SC,"BEAUFORT, NC",37013,Non-metro counties,N,1
TX,"WHITLEY, IN",18183,Metro counties,N,1
IN,"GRANT, NH",18053,Non-metro counties,Y,1
GU,TX,,,N,2
AR,"BUFFALO, NE",31019,Non-metro counties,N,1
AR,"TUSCALOOSA, AL",01125,Metro counties,Y,1
AR,"FAIRBANKS NORTH STAR, AK",02090,Metro counties,N,1
DE,"ALACHUA, FL",12001,Metro counties,Y,1
TN,"PERRY, KY",21193,Non-metro counties,N,2
PR,"BOSSIER, LA",22015,Metro counties,N,1
GA,"ALACHUA, FL",12001,Metro counties,Y,1
IN,"JEFFERSON, IN",21111,Metro counties,Y,1
FL,"LEE, MI",12071,Metro counties,N,5
AL,"MONROE, AL",36055,Metro counties,N,1
PR,"PONCE, FL",72113,,Y,1
FL,"SEMINOLE, NY",12117,Metro counties,N,2
CO,"ARAPAHOE, TX",08005,Metro counties,N,1
MT,"JEFFERSON, AL",01073,Metro counties,N,2
FL,"LEON, AR",12073,Metro counties,N,1
AL,"RILEY, KS",20161,Metro counties,N,1
TX,"WASHINGTON, TN",48477,Non-metro counties,N,1
TX,"SANTA BARBARA, CA",06083,Metro counties,Y,1
GU,"GRUNDY, IL",17063,Metro counties,Y,1
TN,"SUMMIT, UT",49043,Non-metro counties,N,1
VT,"WASHINGTON, PA",42125,Metro counties,N,1
GA,"MOBILE, AL",01097,Metro counties,N,3
SC,"LAPORTE, IN",18091,Metro counties,N,1
VT,"FREDERICK, MD",24021,Metro counties,N,1
AL,"GRAND TRAVERSE, MI",26055,Non-metro counties,N,1
TN,"PICKENS, SC",45077,Metro counties,N,3
NM,"ROCK ISLAND, IL",17161,Metro counties,Y,2
NM,"JEFFERSON DAVIS, LA",22053,Non-metro counties,N,1
TN,"TAYLOR, KY",21217,Non-metro counties,N,1
AR,"WALWORTH, WI",55127,Non-metro counties,N,1
GA,"CLINTON, NY",36019,Non-metro counties,N,1
AL,"BULLOCH, AL",13031,Non-metro counties,N,1
TN,"YORK, PA",42133,Metro counties,N,3
MT,"LA CROSSE, WI",55063,Metro counties,Y,2
TX,"DAVIESS, IN",18027,Non-metro counties,N,1
AR,"GRAHAM, AZ",04009,Non-metro counties,Y,1
KS,"JOHNSON, MO",20091,Metro counties,Y,1
VT,"CUYAHOGA, OH",39035,Metro counties,Y,1
NM,"UNION, AR",05139,Non-metro counties,N,2
IN,"CHATHAM, GA",13051,Metro counties,N,1
TX,"RENO, KS",20155,Non-metro counties,N,2
AR,"SUMNER, KS",20191,Metro counties,Y,1
GA,"MONROE, NY",36055,Metro counties,Y,1
AL,"FRANKLIN, AL",12037,Non-metro counties,N,1
TX,"GUADALUPE, NM",48187,Metro counties,N,1
IN,"FLOYD, IA",19067,Non-metro counties,Y,1
AR,"LOGAN, OK",40083,Metro counties,N,1
TN,"WASHINGTON, AL",01129,Non-metro counties,N,2
AR,"PAYNE, OK",40119,Non-metro counties,Y,1
