"Notes	""State of Residence""	""State of Residence Code""	""County of Residence""	""County of Residence Code""	""Mother's Pre-pregnancy BMI""	""Mother's Pre-pregnancy BMI Code""	""Pre-pregnancy Hypertension""	""Pre-pregnancy Hypertension Code""	""Year""	""Year Code""	Births"
" AL""	""01103""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	47"
" AL""	""01103""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	33"
" AL""	""01117""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2020""	""2020""	74"
" AL""	""01117""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2021""	""2021""	102"
" AL""	""01117""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	81"
" AL""	""01117""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	70"
" AL""	""01125""	""Underweight <18.5""	""1""	""No""	""2""	""2020""	""2020""	11"
" AL""	""01125""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2020""	""2020""	98"
" AL""	""01125""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2021""	""2021""	110"
" AL""	""01125""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	75"
" AL""	""01125""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	97"
" AL""	""01999""	""Underweight <18.5""	""1""	""No""	""2""	""2020""	""2020""	141"
" AL""	""01999""	""Underweight <18.5""	""1""	""No""	""2""	""2021""	""2021""	129"
" AL""	""01999""	""Normal 18.5-24.9""	""2""	""Yes""	""1""	""2020""	""2020""	14"
" AL""	""01999""	""Normal 18.5-24.9""	""2""	""Yes""	""1""	""2021""	""2021""	17"
" AL""	""01999""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2020""	""2020""	1037"
" AL""	""01999""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2021""	""2021""	1193"
" AL""	""01999""	""Overweight 25.0-29.9""	""3""	""Yes""	""1""	""2020""	""2020""	19"
" AL""	""01999""	""Overweight 25.0-29.9""	""3""	""Yes""	""1""	""2021""	""2021""	31"
" AL""	""01999""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	877"
" AL""	""01999""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	959"
" AK""	""02020""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2020""	""2020""	158"
" AK""	""02020""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2021""	""2021""	143"
" AK""	""02020""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	93"
" AK""	""02020""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	132"
